ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-04-24,8247.136064001204,6965.827239691846,8372.599282358116,8247.136064001204,8247.136064001204,-556.1263235893523,-556.1263235893523,-556.1263235893523,135.66463114596743,135.66463114596743,135.66463114596743,-691.7909547353197,-691.7909547353197,-691.7909547353197,0.0,0.0,0.0,7691.009740411852
2023-04-25,8245.365783996227,7080.67848547545,8471.151855263934,8245.365783996227,8245.365783996227,-449.26509162439476,-449.26509162439476,-449.26509162439476,201.03915771966086,201.03915771966086,201.03915771966086,-650.3042493440556,-650.3042493440556,-650.3042493440556,0.0,0.0,0.0,7796.100692371832
2023-04-26,8243.595503991251,7209.22644473664,8507.767790442338,8243.595503991251,8243.595503991251,-374.0666687899694,-374.0666687899694,-374.0666687899694,233.4713864368428,233.4713864368428,233.4713864368428,-607.5380552268123,-607.5380552268123,-607.5380552268123,0.0,0.0,0.0,7869.528835201282
2023-04-27,8241.825223986274,7229.7275546737765,8585.182780026622,8241.825223986274,8241.825223986274,-345.16562269427556,-345.16562269427556,-345.16562269427556,218.76751542483774,218.76751542483774,218.76751542483774,-563.9331381191132,-563.9331381191132,-563.9331381191132,0.0,0.0,0.0,7896.659601291998
2023-04-30,8236.514383971346,7232.446951236879,8613.37254618718,8236.514383971346,8236.514383971346,-323.8773436384215,-323.8773436384215,-323.8773436384215,108.83944472723842,108.83944472723842,108.83944472723842,-432.7167883656598,-432.7167883656598,-432.7167883656598,0.0,0.0,0.0,7912.637040332924
2023-05-01,8234.74410396637,7310.008287011567,8705.055363646656,8234.74410396637,8234.74410396637,-254.75677890870787,-254.75677890870787,-254.75677890870787,135.66463114490134,135.66463114490134,135.66463114490134,-390.4214100536092,-390.4214100536092,-390.4214100536092,0.0,0.0,0.0,7979.987325057662
2023-05-02,8232.973823961394,7385.286542736205,8768.278567129277,8232.973823961394,8232.973823961394,-148.5926273760601,-148.5926273760601,-148.5926273760601,201.03915772093737,201.03915772093737,201.03915772093737,-349.6317850969975,-349.6317850969975,-349.6317850969975,0.0,0.0,0.0,8084.381196585335
2023-05-03,8231.203543956417,7477.203330491496,8850.06652599395,8231.203543956417,8231.203543956417,-77.33097985297633,-77.33097985297633,-77.33097985297633,233.4713864375059,233.4713864375059,233.4713864375059,-310.8023662904822,-310.8023662904822,-310.8023662904822,0.0,0.0,0.0,8153.872564103441
2023-05-04,8229.433264118583,7486.453212377736,8846.215005181752,8229.433264118583,8229.433264118583,-55.60058948392159,-55.60058948392159,-55.60058948392159,218.76751542502538,218.76751542502538,218.76751542502538,-274.36810490894703,-274.36810490894703,-274.36810490894703,0.0,0.0,0.0,8173.832674634661
2023-05-07,8224.122424605075,7467.615998562317,8885.515287124093,8224.122424605075,8224.122424605075,-74.52583447882212,-74.52583447882212,-74.52583447882212,108.83944472833504,108.83944472833504,108.83944472833504,-183.3652792071572,-183.3652792071572,-183.3652792071572,0.0,0.0,0.0,8149.596590126253
